,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,"Rehabilitation of Dilapidated Modified Type A Water Schemes in Posukoh Community in Badagry LGA and Alatunshe Community in Ibeju-Lekki LGA, and Type A Water in Igbodu Community in Eredo LCDA.",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202267655260,"9,498,758.40",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Monday, June 13, 2022",IBEJU LEKKI
,"Rehabilitation of Dilapidated Modified Type A Water Schemes in Otunla Community in Ibeju-Lekki LGA, Boikoh Quarters in Badagry LGA and Type A Water in Oke-Balogun Community in Epe LGA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202268645701,"9,498,758.40",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Monday, June 13, 2022","EPE, LAGOS"
,"Construction of a 20m Fence, Gate and Gate House (Raft Foundation) at Ansarudeen Primary School, Ibowon, Epe  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202283035761,"5,466,397.00",JADFEM NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, January 20, 2022","Monday, June 13, 2022","EPE, LAGOS"
,"Construction of a 235m Fence, Gate and Gate House (Raft Foundation) at Atara Health Centre Primary School, Aguda, Surulere  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245576572,"21,056,823.99",AVILAH CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, January 20, 2022","Monday, June 13, 2022","SURULERE, LAGOS"
,"Construction of a 250m Fence, Gate and Gate House (Raft Foundation) at Ifeoluwa Primary School, Agege  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202203624473,"24,319,673.91",LOSAGH NIGERIA LIMITED,Private Organization,"50,000,001 to 100,000,000",33,2022,COMPLETED,,"Thursday, January 20, 2022","Monday, June 13, 2022","AGEGE, LAGOS"
,"Construction of a 65m Fence, includidng Gate (Raft Foundation) at 7th Avenue Festac Nursery and Primary School, Amuwo Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202276820556,"6,158,621.47",BIOREM NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022","Monday, June 13, 2022","AMUWO ODOFIN, LAGOS"
,"Construction of a 148m Fence, Gate and Gate House (Raft Foundation) at Community Primary School, Ikotun, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202244761161,"15,826,121.15",QUEVEDO INTERNATIONAL LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022","Monday, June 13, 2022","ALIMOSHO, LAGOS"
,"Construction of a 50m Fence (Pad Foundation) at  Z. I. Primary School, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202260342273,"4,018,678.30",JADFEM NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022","Monday, June 13, 2022","EPE, LAGOS"
,"Construction of a 150m Fence (Pad Foundation) at Dairy Farm Primary School, Agege LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202250117202,"12,518,284.90",LOSAGH NIGERIA LIMITED,Private Organization,"50,000,001 to 100,000,000",33,2022,ONGOING,,"Thursday, January 20, 2022","Monday, June 13, 2022","AGEGE, LAGOS"
,Procurement of 44 ECCDE Plastic Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202200158075,"5,022,144.12",RUKSAL CONCEPT,Private Organization,"50,000,001 to 100,000,000",33,2021,ONGOING,,"Wednesday, December 1, 2021","Monday, June 13, 2022",LAGOS
,Procurement of 526 Teachers Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245851578,"42,069,480.00",GLAMOUR BASE FASHION LIMITED,Private Organization,"25,000,001 to 50,000,000",20,2021,ONGOING,,"Wednesday, December 1, 2021","Monday, June 13, 2022",LAGOS
,Procurement of 682 Dual Students Furniture (Iron-Wooden),STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202228030411,"40,909,770.00",GLAMOUR BASE FASHION LIMITED,Private Organization,"25,000,001 to 50,000,000",20,2021,ONGOING,,"Wednesday, December 1, 2021","Monday, June 13, 2022",LAGOS
,"Establishment of Borehole and Overhead Tank (Pad Foundation) at Central Primary School, Oshodi, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202250855255,"9,997,500.00",STEADFAST VENTURES,Private Organization,"10,000,001 to 25,000,000",14,2021,ONGOING,,"Wednesday, December 1, 2021","Monday, June 13, 2022","OSHODI, LAGOS"
,"Construction of 382m Fence, Gate and Gate House (Pad Foundation) at Local Government Primary School, Isheri-Osun, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202216544757,"31,845,946.20",LOSAGH NIGERIA LIMITED,Private Organization,"50,000,001 to 100,000,000",33,2021,ONGOING,,"Wednesday, December 1, 2021","Monday, June 13, 2022","ALIMOSHO, LAGOS"
,"Rehabilitation of Dilapidated Modified Type A Water Schemes in Poka Community in Epe LG, Gberigbe-Owa Community in Ijede LCDA and Type A Water  in Agemowo Community in Olorunda LCDA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202244546331,"9,377,360.00",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","OLORUNDA, LAGOS"
,"Rehabilitation of Dilapidated Modified Type A Water Schemes in Solomade Community in Ikorodu LGA, Erepete Community in Epe LGA, and Type A Water in Ajara Vetho Community in Badagry LGA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202267073241,"9,377,360.00",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,"Rehabilitation of Dilapidated Isawo Micro Water Scheme, Ikorodu LGA.",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202247653671,"9,972,910.00",BILDIN GLOBAL LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,"Rehabilitation of Dilapidated Modified Type A Water Schemes in Holy Timothy Community Aboru in Ipaja Ayobo LCDA, Governor s Road CDA in Ikotun-Igando LCDA and Type A Water in Magbon-Segun Community in Ibeju-Lekki LGA)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202205703148,"9,404,502.50",BILDIN GLOBAL LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022",IBEJU LEKKI
,Provision of Modified Type A Water Schemes in  Toniyon Community in Badagry LGA and Igbomogun Community in Igbogbo-Baiyeku LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202220760678,"9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,Provision of Modified Type A Water Schemes in Okegun-Odofin Rulling House Community in Ibeju-Lekki LGA and Banana Estate Community in Igbogbo-Baiyeku LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202224520564,"9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,Provision of Modified Type A Water Schemes in Layeode Community in Ikosi- Ejinrin LCDA and Idena Community in Ikosi-Ejinrin LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243421371,"9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKOSI-EJINRIN, LAGOS"
,Provision of Modified Type A Water Schemes in Iganke Community in Ikosi- Ejinrin LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202218258242,"6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKOSI-EJINRIN, LAGOS"
,Provision of Modified Type A Water Schemes in Erekiti Community in Badagry LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202201866127,"6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,Provision of Modified Type A Water Schemes in Agodogbon Community in Ikorodu North LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202261220167,"6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,Provision of Modified Type A Water Schemes in Muyanrin Community in Olorunda LCDA  in  Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202230564128,"6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021","Sunday, June 12, 2022","OLORUNDA, LAGOS"
,Provision of Rural Electrification in Four(4) Locations in Epe Division of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202284015588,"78,078,822.20",SHARP REALTORS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, December 13, 2021","Sunday, June 12, 2022","EPE, LAGOS"
,Provision of Rural Electrification in Two (2) Locations in Badagry Division of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202208335476,"39,897,850.45",MEGA ULTIMATE LIMITED.,Private Organization,,0,2021,ONGOING,,"Monday, December 13, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,"Grading of Wagbare/Ewupako, Ibelefun Greenland CDA, Offin Igbogbo-Baiyekun LCDA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202247684025,"81,452,339.98",MEDAVILLE CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,Construction of Palace Way Ajara Agelasho in Badagry Local Government (Lot 3),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202284110024,"156,812,834.60",SAIL THROUGH CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,"Construction of Agbajefeye Street, Aga, Ikorodu Local Government  Area (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202220215851,"159,061,033.47",BRINK CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,Construction of Access Road to Imobido Town off Lekki Free Trade Zone in Ibeju-Lekki Local Government Area (Lot 1),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202210667388,"106,193,821.86",MEDAVILLE CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021","Sunday, June 12, 2022",IBEJU LEKKI
,Special Intervention on Provision of Social Infrastructure at Imeru Community as part of the Lasocu Identified Poorest Communities in Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243167202,"232,051,781.98",ECOSERVE FMC LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, October 22, 2021","Sunday, June 12, 2022","IMERU, LAGOS"
,"Construction of Public Toilet with Borehole in Aiyetoro Market,Epe Local Government in Epe Division (Lot 13)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243752262,"6,998,431.79",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","EPE, LAGOS"
,"Construction of Public Toilet with Borehole in Pobo Market, Eredo LCDA in Epe Division (Lot 12)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202281427781,"6,991,658.54",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","EPE, LAGOS"
,"Construction of Public Toilet with Borehole in Ibeju-Agbe Community Market, Ibeju Lekki LG in Epe Division (Lot 11)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202237362850,"6,995,044.79",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022",IBEJU LEKKI
,"Construction of Public Toilet with Borehole in Itafaji Market, Lagos Island LG in Lagos Division (Lot  10)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202200657217,"6,997,187.42",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022",LAGOS ISLAND
,"Construction of Public Toilet with Borehole in Ifesowapo Market, Coker Aguda LCDA in Lagos Division (Lot 9)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202266234276,"6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","AGUDA, LAGOS"
,"Construction of Public Toilet with Borehole in Oluwo Idikan Market, Ikorodu West LCDA in Ikorodu division (Lot 8)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202217700711,"6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,"Construction of Public Toilet with Borehole in  Owode Elepo Market, Igbogbo Bayeiku LCDA in Ikorodu Division (Lot 7)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202206043123,"6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,"Construction of Public Toilet with Borehole in   Temidire Community Market, Igbo Elerin, Iba LCDA in Badagry Division (Lot 6)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202232551547,"6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"200,000,001 to 250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,"Construction of Public Toilet with Borehole in Ilogbo Market, Olorunda LCDA in Badagry Division (Lot 5)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202218007085,"6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"200,000,001 to 250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","BADAGRY, LAGOS"
,"Construction of Public Toilet with Borehole in Moroof Ojoola Market,Ejigbo LCDA in Ikeja Division (Lot 3)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202266364647,"6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"200,000,001 to 250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","EJIGBO, LAGOS"
,"Construction of Public Toilet with Borehole in  Ashogbon Market, Bariga LCDA in Ikeja Division (Lot 4)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202252048262,"6,875,476.32",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","BARIGA, LAGOS"
,"Construction of Public Toilet with Boreholes in Plantain Market,Agboyi Ketu LCDA in Ikeja Division (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202245413814,"6,943,562.50",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 25, 2021","Sunday, June 12, 2022","KETU, LAGOS"
,"Construction of Public Toilets with Borehole in Goodwill Plank Market, Kosofe LG in Ikeja Division (Lot 1)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202271080738,"6,943,562.50",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 25, 2021","Sunday, June 12, 2022","IKEJA, LAGOS"
,"Construction of Public Toilets and Boreholes in Ogungbe Market, Apapa Local Government (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202228245580,"6,931,244.99",TTK SANWO ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","APAPA, LAGOS"
,"Construction of Public Toilets and Boreholes in Idera Market, Oshodi LGA Obunale Market, Ikorodu (Lot 1)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202232446246,"7,229,137.52",TTK SANWO ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021","Sunday, June 12, 2022","Oshodi, Ikorodu,Lagos"
,The Review of Badagry Master Plan,MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202274332256,"195,000,000.00",VISTAPLAN CONSULTING,Private Organization,,0,2021,ONGOING,ONGOING,"Thursday, April 7, 2022","Sunday, June 12, 2022",LAGOS STATE
,Preparation of Action Area Plan (Pota),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202202840172,"28,500,000.00",MEPAS AND PRODEL NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021","Sunday, June 12, 2022",LAGOS STATE
,Preparation of Action Area Plan (Ijegun-Egba),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202281665360,"40,100,000.00",KADIRI ASSOCIATES LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021","Sunday, June 12, 2022",Unspecified
,Preparation of Action Area Plan (Ijedodo),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202255087280,"40,100,000.00",MOA PLANNERS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021","Sunday, June 12, 2022",LAGOS STATE
,Procurement of 915 Dual Pupils Furniture (Iron-Wooden),STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272051741,"54,689,550.00",QOALITUS VENTURES,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022",LAGOS
,"Establishment of Borehole and Overhead Tank (Pad Foundation) at St. Michael Nursery Primary School, Ojo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272034174,"6,434,777.99",ROCKDOM INTEGRATED LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","OJO, LAGOS"
,"Establishment of Borehole and Overhead Tank (Pad Foundation) at Adeniji Primary School, Mushin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202248602363,"6,446,046.00",360 UNIQUE DESIGN CONSTRUCTION LIMITED,Private Organization,"250,000,001 and above",75,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","MUSHIN, LAGOS"
,"Establishment of Borehole and Overhead Tank (Pad Foundation) at Army Barracks Primary School, LASU Road, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202214348162,"6,519,434.24",MONADOK NIG. LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","EPE, LAGOS"
,"Establishment of Borehole and Overhead Tank (Pad Foundation) at Irepodun Primary School 1, Orile, Apapa LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272236122,"6,524,800.00",BEVIS CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","APAPA, LAGOS"
,"Construction of 220m Fence, Gate and Gate House (Raft Foundation) at Government Handicraft Primary School, Ojo-Oniyun, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202255581602,"22,067,247.18",MONADOK NIG. LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","EBUTE-METTA, LAGOS"
,"Rehabilitation of a Blocks of 6 12 Classrooms with Toilets, including Borehole and Overhead Tank at Amuwo Junior Grammar School, Agboju, Amuwo-Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202244180482,"46,435,309.62",FUEZA VENTURES,Private Organization,"25,000,001 to 50,000,000",23,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","AMUWO ODOFIN, LAGOS"
,"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Expressway Primary School, Itire, Mushin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202225047313,"56,964,747.53",STEDMAN DYSON ENGINEERING LTD,Private Organization,"200,000,001 to 250,000,000",62,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","MUSHIN, LAGOS"
,"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Methodist Primary School, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245248752,"58,123,030.12",BRITTS BROOK LIMITED,Private Organization,"200,000,001 to 250,000,000",37,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","IKORODU, LAGOS"
,"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Central Primary School, Ikeja LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202235873613,"58,113,923.90",BIZ WORLD INTERNATIONAL LIMITED,Private Organization,"200,000,001 to 250,000,000",50,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","IKEJA, LAGOS"
,"Construction of a Block of 6 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Afariogun Primary School, Orile-Oshodi, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202288861756,"69,041,081.60",LOFTY CONCEPT NIGERIA LIMITED,Private Organization,"100,000,001 to 200,000,000",44,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","OSHODI, LAGOS"
,Preparation of Lagos Island Model City Plan,MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202267718861,"295,000,000.00",URBAN PLANNING SMART SOLUTIONS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021","Sunday, June 12, 2022",LAGOS
,"Construction of a Block of 6 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Community Primary School, Ibasa, Ojo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202266051768,"69,481,845.53",TAMGAJ CORPORATE SERVICES LTD,Private Organization,"50,000,001 to 100,000,000",32,2021,ONGOING,,"Wednesday, December 1, 2021","Sunday, June 12, 2022","OJO, LAGOS"
,Preparation of Action Area Plan (Ikoga),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202287742663,"28,500,000.00",TEE-AY-AY LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021","Sunday, June 12, 2022",LAGOS STATE
